b000, b001, b002, b003, b004, b005, b006, b007, b008, b009, b010, b011, b012, b013, b014, b015, 
-29.4836655816564, -0.8562683607648256, 0.9978633426913137, -0.5663826790823175, 1.9932932584928427, 4.147842688462697, 3.80767845467768, -8.570857019828908, -4.470371023014574, 27.847701775306298, 0.499422585653179, 1.6612043410868158, 0.2677738446099314, -2.5108609897734695, 4.178028777068997, 0.27774069053260064, 
-28.81624902284326, -0.4416532196831871, 0.6921849667864721, -1.0195915394335213, 1.9429388954348221, 4.557840487443485, 3.6415158056277646, -8.652799170134262, -4.611659474213362, 28.064727767468845, 0.7018785250786663, 2.1710064789045993, 0.5647736927161474, -2.4825618436500863, 4.839851887815153, -0.14816272648287376, 
-28.198057405912508, -0.15585935378904983, 0.2567092003375345, -1.4822236324918787, 2.0549907835896954, 4.860630198173024, 3.479721079566098, -8.654332175852689, -4.535237415843588, 28.40231779879251, 0.888736069887723, 2.453041809727423, 0.9320011286486004, -2.56604762642543, 5.3777941145081805, -0.38888457132559284, 
-27.885224594889863, -0.18018579456344083, -0.1196451410730219, -1.716554610298357, 1.9693331043901678, 5.083408768050827, 3.428086880992521, -8.70610142308699, -4.291705551532716, 28.570049864509365, 1.1705813068601427, 2.57163235336869, 1.1884339560705655, -2.843558632423221, 5.71249043170055, -0.4728513491065465, 
-27.877588708709833, -0.540874364403774, -0.5393575368465033, -1.788744426892385, 1.9122083889966193, 5.262341711780002, 3.405031878860255, -8.755147213303971, -3.6821934229861557, 28.60639291184974, 1.5066937444521165, 2.3449514594925716, 1.474146115082154, -3.3752320530462896, 5.760819595810537, -0.33243895573939786, 
-28.106770978735028, -1.0716867065949447, -0.8957545352777043, -1.678163620154253, 1.619882875606893, 5.3197848139925386, 3.4796088276359516, -8.81667425084808, -3.0529154896030755, 28.624266705599943, 1.8965022909078424, 2.0479495130779375, 1.5385569320944055, -3.931111414718246, 5.677863834899528, -0.13527165405021432, 
-28.622921964033026, -1.910538538419111, -1.285811970979837, -1.46911222284783, 1.462015764557463, 5.411903940126782, 3.525275198798834, -8.900704721065477, -1.9820851602111442, 28.40555141543679, 2.376318307034212, 1.3803059215547688, 1.7279561607048082, -4.79706163082554, 5.2746248235232, 0.2374657927366327, 
-29.191918386084325, -2.7497533025421794, -1.5903473376201211, -1.2116055482609813, 1.2205738124413579, 5.3825188543303835, 3.5606123024371814, -8.916922766252236, -0.9240582109503739, 28.184240946995494, 2.8482759744239674, 0.6839089276508915, 1.7939251050767504, -5.573562813559721, 4.804999317658958, 0.5320254779863958, 
-29.89379583130284, -3.761625008813851, -1.7261368219137954, -0.9099637493077894, 1.1091079068184686, 5.374659840681196, 3.5045658451402573, -8.905948540797622, 0.4464538446031937, 27.540722038905155, 3.349211290107049, -0.2732577961018306, 2.0560190945565333, -6.499727597624831, 4.066652222378228, 0.833791795559854, 
-30.273498707690866, -4.340670256326318, -1.8381749080717225, -0.7349842946191462, 0.8966798067265321, 5.113116775578852, 3.3844167937082283, -8.71113617984998, 1.3693763562671881, 27.218277515498258, 3.683665956905384, -0.8424223105261495, 2.0345386298473587, -6.931077199754612, 3.5754691157074454, 0.8749328818588787, 
-30.764652317763087, -5.087134736436068, -1.6289250965474973, -0.4773997875360682, 0.8918398575183125, 4.982665622143638, 3.088465623636191, -8.522399344556124, 2.672669434015615, 26.186842727141876, 4.041852053159303, -1.7083989188080817, 2.36903732095263, -7.580204108291782, 2.7558184991964847, 0.8577308663083291, 
