iteration,time_ps,negative_q_branch_count,negative_qpoint_count,branch_1_count,branch_2_count,branch_3_count,path_integral_negative_indicator,path_integrated_negative_fraction,path_integral_absolute_imaginary_frequency_THz
220,0.2199999988,88,75,75,13,0,2.6491418341,0.0850789209,2.1080986724
221,0.2210000008,86,74,74,12,0,2.5901395613,0.0831840244,2.0629698045
222,0.2220000029,81,74,74,7,0,2.4426338794,0.0784467830,1.9204428015
223,0.2230000049,74,74,74,0,0,2.2361259248,0.0718146451,1.8456718271
224,0.2240000069,75,75,75,0,0,2.2656270612,0.0727620934,1.9284334335
225,0.2249999940,71,71,71,0,0,2.1476225157,0.0689723003,1.8716726799
226,0.2259999961,58,58,58,0,0,1.7574775136,0.0564425387,1.8252553924
227,0.2269999981,51,51,51,0,0,1.5509695590,0.0498104008,1.7336573612
228,0.2280000001,49,49,49,0,0,1.4919672862,0.0479155042,1.6622438108
229,0.2290000021,46,46,46,0,0,1.4034638771,0.0450731594,1.5626787840
230,0.2300000042,43,43,43,0,0,1.3017000098,0.0418049463,1.4049421018
231,0.2310000062,39,39,39,0,0,1.1836954643,0.0380151533,1.2473588240
232,0.2319999933,35,35,35,0,0,1.0391700023,0.0333736236,0.9888518848
233,0.2329999954,33,33,33,0,0,0.9934281878,0.0319045953,0.7458452925
234,0.2339999974,27,27,27,0,0,0.7965306822,0.0255811033,0.4485741283
235,0.2349999994,0,0,0,0,0,0.0000000000,0.0000000000,0.0000000000
236,0.2360000014,26,26,26,0,0,0.7670295458,0.0246336550,0.1436837711
237,0.2370000035,28,28,28,0,0,0.8260318186,0.0265285516,0.2458634355
238,0.2380000055,31,31,31,0,0,0.9145352277,0.0293708964,0.4204699354
239,0.2389999926,31,31,31,0,0,0.9145352277,0.0293708964,0.4876186490
240,0.2399999946,36,34,34,2,0,1.0885618260,0.0349598743,0.6030714366
241,0.2409999967,38,35,35,3,0,1.1608245570,0.0372806391,0.6419332298
242,0.2419999987,45,39,39,6,0,1.4071138862,0.0451903819,0.7655669536
243,0.2430000007,45,39,39,6,0,1.4071138862,0.0451903819,0.7854111599
244,0.2440000027,47,40,40,7,0,1.4793766172,0.0475111467,0.8764367588
245,0.2450000048,45,39,39,6,0,1.4071138862,0.0451903819,0.8549510259
246,0.2460000068,47,40,40,7,0,1.4793766172,0.0475111467,0.9111123691
247,0.2469999939,47,40,40,7,0,1.4793766172,0.0475111467,0.8720953081
248,0.2479999959,47,40,40,7,0,1.4793766172,0.0475111467,0.8910468244
249,0.2489999980,45,39,39,6,0,1.4071138862,0.0451903819,0.8262909495
250,0.2500000000,45,39,39,6,0,1.4071138862,0.0451903819,0.8204305778
251,0.2509999871,40,36,36,4,0,1.2330872879,0.0396014039,0.7355041247
252,0.2520000041,40,36,36,4,0,1.2330872879,0.0396014039,0.7096415457
253,0.2529999912,31,31,31,0,0,0.9145352277,0.0293708964,0.6318867653
254,0.2540000081,31,31,31,0,0,0.9145352277,0.0293708964,0.6061601409
255,0.2549999952,30,30,30,0,0,0.8850340913,0.0284234481,0.5284866999
256,0.2560000122,30,30,30,0,0,0.8850340913,0.0284234481,0.5039979129
257,0.2569999993,29,29,29,0,0,0.8555329550,0.0274759998,0.4371960637
258,0.2579999864,28,28,28,0,0,0.8260318186,0.0265285516,0.4154029727
259,0.2590000033,28,28,28,0,0,0.8260318186,0.0265285516,0.3745031410
260,0.2599999905,27,27,27,0,0,0.7965306822,0.0255811033,0.3570659896
261,0.2610000074,26,26,26,0,0,0.7670295458,0.0246336550,0.3086582923
262,0.2619999945,25,25,25,0,0,0.7375284095,0.0236862068,0.2949222729
263,0.2630000114,24,24,24,0,0,0.7080272731,0.0227387585,0.2399887778
264,0.2639999986,31,27,27,4,0,0.9675770605,0.0310743695,0.2455453228
265,0.2649999857,28,25,25,3,0,0.8658131932,0.0278061564,0.1967993388
266,0.2660000026,31,26,26,5,0,0.9808375187,0.0315002378,0.2100349221
267,0.2669999897,28,24,24,4,0,0.8790736514,0.0282320247,0.1749325756
268,0.2680000067,27,23,23,4,0,0.8495725150,0.0272845764,0.1636260922
269,0.2689999938,18,18,18,0,0,0.5310204548,0.0170540689,0.1226598372
270,0.2700000107,17,17,17,0,0,0.5015193184,0.0161066206,0.1184315666
271,0.2709999979,15,15,15,0,0,0.4425170457,0.0142117241,0.0814835734
272,0.2720000148,16,16,16,0,0,0.4720181821,0.0151591723,0.0931066441
273,0.2730000019,14,14,14,0,0,0.4130159093,0.0132642758,0.0663059794
274,0.2739999890,15,15,15,0,0,0.4425170457,0.0142117241,0.0801283398
275,0.2750000060,13,13,13,0,0,0.3835147729,0.0123168275,0.0566900233
276,0.2759999931,14,14,14,0,0,0.4130159093,0.0132642758,0.0727303508
277,0.2770000100,13,13,13,0,0,0.3835147729,0.0123168275,0.0589093090
278,0.2779999971,15,15,15,0,0,0.4425170457,0.0142117241,0.0827951589
279,0.2790000141,13,13,13,0,0,0.3835147729,0.0123168275,0.0599572005
280,0.2800000012,15,15,15,0,0,0.4425170457,0.0142117241,0.0818959986
281,0.2809999883,14,14,14,0,0,0.4130159093,0.0132642758,0.0704852204
282,0.2820000052,16,16,16,0,0,0.4720181821,0.0151591723,0.1055588242
283,0.2829999924,15,15,15,0,0,0.4425170457,0.0142117241,0.0923100333
284,0.2840000093,17,17,17,0,0,0.5015193184,0.0161066206,0.1289345544
285,0.2849999964,16,16,16,0,0,0.4720181821,0.0151591723,0.1129635711
286,0.2860000134,18,18,18,0,0,0.5310204548,0.0170540689,0.1571313976
287,0.2870000005,18,18,18,0,0,0.5310204548,0.0170540689,0.1489789813
288,0.2879999876,19,19,19,0,0,0.5605215912,0.0180015171,0.2004876551
289,0.2890000045,19,19,19,0,0,0.5605215912,0.0180015171,0.1937900638
290,0.2899999917,29,25,25,4,0,0.9085747878,0.0291794730,0.2719841829
291,0.2910000086,34,28,28,6,0,1.0826013861,0.0347684509,0.3217623191
292,0.2919999957,51,34,34,17,0,1.6727811623,0.0537224600,0.4660821546
293,0.2930000126,68,38,38,30,0,2.2720586471,0.0729686480,0.6048043475
294,0.2939999998,87,44,44,43,0,2.9324197794,0.0941765772,1.1385110097
295,0.2949999869,91,47,47,44,0,3.0748638665,0.0987512622,1.3754007204
296,0.2960000038,101,53,53,48,0,3.4320147717,0.1102213968,1.8687159842
297,0.2969999909,100,53,53,47,0,3.4025136353,0.1092739486,1.8204952134
298,0.2980000079,104,56,56,48,0,3.5449577224,0.1138486335,2.1337949098
299,0.2989999950,102,56,56,46,0,3.4859554496,0.1119537370,1.9668325702
300,0.3000000119,103,57,57,46,0,3.5154565860,0.1129011852,1.9876896605
301,0.3009999990,94,54,54,40,0,3.2122463588,0.1031633907,1.6219632495
302,0.3019999862,91,53,53,38,0,3.1237429497,0.1003210459,1.4390970102
303,0.3030000031,64,46,46,18,0,2.2385518097,0.0718925540,0.8963114866
