b000, b001, b002, b003, b004, b005, b006, b007, b008, b009, b010, b011, b012, b013, b014, b015, b016, b017, b018, b019, b020, b021, 
2.005667021976134, 0.25256841712358447, 5.541352062175113, 0.28473041696348633, -10.539840479751115, 25.832171292980156, -18.7330299190289, 4.54072533437288, -8.705058943376802, 3.794436911790718, 12.865942521738003, 3.812868887234466, -3.3887990170606836, 1.9188276592292222, -12.104354630462451, 16.312822242739433, -6.594766279437276, -1.2925690996608423, -26.962556392004196, -1.1796801406896595, 5.017263117373959, -7.196918988014022, 
2.1818372275210076, -0.0769525754516336, 5.669740923392428, -0.3388956318591608, -10.532443423637256, 25.934071231167476, -18.540493784287772, 4.313373531138702, -8.57703467652192, 3.738155012696988, 12.925111222906105, 4.193159395657217, -3.259188078080855, 1.901806455381604, -11.947828290173346, 16.02401736517757, -6.423678187113226, -0.9902772951553381, -27.10138416904318, -1.1746099198211224, 5.437645509210908, -7.44801764158576, 
2.2674482569112655, -0.41664008831273425, 5.778663709632549, -0.836681233693191, -10.45448182544292, 26.09996459768713, -18.218011290788755, 4.126312618430146, -8.459232165066195, 3.5337944272282735, 12.866616192975092, 4.702746868753907, -3.1843785690601107, 1.9049735422106662, -11.896475012253111, 15.875050527474759, -6.285586318187345, -0.91262852817534, -27.198019601150563, -1.2618144329748504, 5.845295802883152, -7.632279122643445, 
2.2377117290761137, -0.824784756880979, 5.706875974165753, -1.1801595731274601, -10.377859223002071, 26.221139210556608, -18.120685383422916, 3.89987152171435, -8.21968703116515, 3.363355779929504, 12.887110764162433, 5.022990157467084, -3.0819429717439286, 1.8821973328524217, -11.777993139340422, 15.539155469476562, -6.262586186839234, -0.7050509409327208, -27.053270212191723, -1.3686072274776206, 5.984518780345485, -7.976404217576349, 
2.135073478392712, -1.2452704947280768, 5.5842621217796475, -1.2155606937109917, -10.21631849100801, 26.40326333092457, -17.99395718837794, 3.7040745751102024, -8.109883983778374, 3.0229697610002972, 12.74131894243058, 5.539906072616222, -3.0174557541415923, 1.905943441546298, -11.707669463843711, 15.427803134871182, -6.429652349476378, -0.7579861426565042, -26.84471776171287, -1.6016472374799409, 6.056142151536509, -8.157112615962914, 
1.9909358633305683, -1.655777491243359, 5.346833908556636, -1.1626720649824966, -10.049052970652442, 26.532886768784, -18.053857327444835, 3.479748775831108, -7.758548691774749, 2.842619620441995, 12.724484867484408, 5.748442626777424, -2.945986944190249, 1.8986435006330915, -11.637167969512793, 15.053202612774543, -6.552881199809062, -0.625242432771014, -26.494642433944627, -1.7382908906804622, 5.847354271667696, -8.498807402938429, 
1.8174955882265613, -2.0601954164457106, 5.054627975285975, -0.6929003151143064, -9.78680727440393, 26.700521859589156, -18.172251632544214, 3.3010067105038634, -7.605379453172108, 2.473154377645679, 12.563677977338353, 6.159566288745335, -2.9075423642445886, 1.9470198729309922, -11.52491590151404, 14.913542424543053, -6.972098550242074, -0.7537201731123261, -26.098690157131173, -1.9913019170099233, 5.511884105742798, -8.598038244079392, 
1.678394797465318, -2.4187502340077747, 4.76234121566157, -0.2884961971264886, -9.519372252055796, 26.847181885324666, -18.35454720583143, 3.109968036755286, -7.133264587674417, 2.291755740682397, 12.526416170523884, 6.248678288191875, -2.8869820129678985, 1.9492002243082645, -11.535164312062962, 14.523826610297302, -7.162714815882518, -0.7732202796719007, -25.756498126313016, -2.0974488718292146, 5.062760599471329, -8.831948729581393, 
1.5317664815758256, -2.771838943758422, 4.425523097016344, 0.508275171306731, -9.177065018094583, 27.012051821850786, -18.655578613568654, 2.944163015759916, -6.876646003840208, 1.9330823534826385, 12.400325414758793, 6.501214355312633, -2.8994456746546335, 1.9972337548882224, -11.406079157306747, 14.318165088182415, -7.694433473277683, -1.0041631733645144, -25.388843420951837, -2.3188592857324046, 4.476455672610352, -8.804530723092109, 
1.4746714692906746, -3.0581648360226934, 4.1684900407846355, 1.1009682360356912, -8.852474696904604, 27.230731107078235, -18.92284503351974, 2.776775704109494, -6.280322628510978, 1.7399850939078276, 12.398202749319905, 6.441329856880263, -2.9477188030725068, 1.9468179636769802, -11.49259290610636, 13.899330396443796, -7.848074373984036, -1.1808275892414906, -25.26711541021701, -2.3527571520279364, 3.9301086009508355, -8.914389956190652, 
1.3923805947314705, -3.313819560159728, 3.8662879860182575, 1.9407529247569353, -8.482261477146132, 27.436780853930426, -19.291359223983786, 2.624924637313127, -5.90697996437726, 1.3949665258538164, 12.355549683474797, 6.488688744189138, -3.0405704699694116, 1.9122602440427539, -11.365942645487815, 13.610373036618666, -8.293786953134214, -1.4952343183664059, -25.143212919875218, -2.474684985858784, 3.300794221000842, -8.792167218404712, 
1.411123596672994, -3.509582784958665, 3.6855337732218847, 2.510835155396689, -8.16361769403786, 27.72755149305694, -19.564978665822775, 2.4813821462636114, -5.307590223006225, 1.1800337234070637, 12.39186117103356, 6.31880657651489, -3.1591217037535557, 1.7727299922140909, -11.440761740517733, 13.220526996511, -8.360791467587884, -1.8020899942042186, -25.31505289600718, -2.4552917093761875, 2.810372169802009, -8.761355173376172, 
1.369994088999381, -3.6747737405536776, 3.4427911622448475, 3.1612610288820235, -7.793340532614618, 27.95026216023515, -19.904013148653103, 2.3538274767684473, -4.885619407398856, 0.8526233780361411, 12.407625876155134, 6.200742533815651, -3.317303325469352, 1.6335258536546957, -11.256165910752827, 12.895505043456554, -8.648358933900605, -2.1770671912289075, -25.486528255215248, -2.5037869088503952, 2.2975636355790807, -8.565269478514919, 
1.4654463286193857, -3.8099936404913217, 3.3412556887943916, 3.4855104641305736, -7.513401680923796, 28.330492497364897, -20.084686518776266, 2.2363451929136517, -4.282697868745241, 0.6584995108650513, 12.449667015660838, 5.904267506938544, -3.4645922378057303, 1.3576107885699131, -11.384148178021539, 12.549757917196795, -8.444118479725216, -2.5688314269589227, -26.00872823986952, -2.411575442969437, 1.9984531653671922, -8.481965671167718, 
1.3443798314128994, -3.8910971438420665, 3.0952628200874956, 3.862519498179117, -7.175275504021634, 28.537518700011493, -20.37454075510033, 2.164053774861805, -4.016506562604608, 0.3216805738681356, 12.48211252778061, 5.719427874833496, -3.6384795149263582, 1.1382589608762834, -11.048237611131503, 12.285739255857946, -8.665030674326076, -2.9626767462045644, -26.33159233017064, -2.4684738975517124, 1.6773202927137902, -8.2375118609853, 
1.3737155106135306, -3.9771885054057643, 2.961153369916243, 3.9851615638334796, -6.925405063070278, 28.870528277742128, -20.511309138019605, 2.0863590302144455, -3.644384040870818, 0.10592346990501515, 12.472573119194076, 5.4322365768300465, -3.764358344918573, 0.8112541146715383, -11.014250949575867, 12.05458915999862, -8.438272433939355, -3.414017578233453, -26.936537195482842, -2.4162699618157193, 1.5570754621078922, -8.065882253420103, 
1.1411372750774758, -3.9845237959449245, 2.7037291994913235, 3.988109107081923, -6.653664996325631, 28.984889255049648, -20.65641968911849, 2.0517131088567435, -3.534193251486365, -0.14942565405079847, 12.464379965243083, 5.248997820216856, -3.9080984148693534, 0.5653837983071175, -10.612317060798713, 11.863132607827328, -8.500693401142893, -3.7572982086150706, -27.277690831437724, -2.478889880945235, 1.4573966069736721, -7.858060924224823, 
