# x_path held_b1_THz held_b2_THz held_b3_THz held_b4_THz held_b5_THz held_b6_THz
4.4152423557 0.1470849847 0.5089179845 0.6123469147 2.1197959640 4.4082704369 18.3525926024
4.4305522611 0.1550917340 0.5366216562 0.6104032513 2.1129528253 4.6479886847 18.2933502078
4.4458621665 0.1630719041 0.5642333804 0.6083498460 2.1057476431 4.8869241754 18.2309735432
4.4611720719 0.1710241272 0.5917484262 0.6061880280 2.0981816518 5.1250339375 18.1654732989
4.4764819772 0.1789470404 0.6039189224 0.6191620789 2.0902561479 5.3622755342 18.0968607001
4.4917918826 0.1868392857 0.6015435085 0.6464696414 2.0819724894 5.5986069788 18.0251475056
4.5071017880 0.1946995105 0.5990626609 0.6736664347 2.0733320956 5.8339866748 17.9503460056
4.5224116934 0.2025263677 0.5964771791 0.7007477987 2.0643364470 6.0683733737 17.8724690195
4.5377215988 0.2103185156 0.5937878086 0.7277090931 2.0549870850 6.3017261442 17.7915298942
4.5530315041 0.2180746188 0.5909952570 0.7545456984 2.0452856116 6.5340043509 17.7075425009
4.5683414095 0.2257933478 0.5881002056 0.7812530161 2.0352336890 6.7651676384 17.6205212337
4.5836513149 0.2334733796 0.5851033186 0.8078264701 2.0248330395 6.9951759217 17.5304810066
4.5989612203 0.2411133977 0.5820052499 0.8342615073 2.0140854454 7.2239893790 17.4374372510
4.6142711256 0.2487120927 0.5788066480 0.8605535980 2.0029927481 7.4515684474 17.3414059131
4.6295810310 0.2562681620 0.5755081607 0.8866982373 1.9915568483 7.6778738213 17.2424034514
4.6448909364 0.2637803103 0.5721104376 0.9126909454 1.9797797054 7.9028664516 17.1404468336
4.6602008418 0.2712472499 0.5686141334 0.9385272686 1.9676633376 8.1265075469 17.0355535337
4.6755107472 0.2786677007 0.5650199089 0.9642027800 1.9552098207 8.3487585752 16.9277415292
4.6908206525 0.2860403907 0.5613284338 0.9897130802 1.9424212887 8.5695812665 16.8170292981
4.7061305579 0.2933640559 0.5575403868 1.0150537982 1.9292999328 8.7889376163 16.7034358153
4.7214404633 0.3006374407 0.5536564573 1.0402205919 1.9158480013 9.0067898890 16.5869805499
4.7367503687 0.3078592981 0.5496773460 1.0652091492 1.9020677991 9.2231006222 16.4676834616
4.7520602740 0.3150283899 0.5456037656 1.0900151884 1.8879616873 9.4378326313 16.3455649973
4.7673701794 0.3221434869 0.5414364414 1.1146344591 1.8735320831 9.6509490138 16.2206460876
4.7826800848 0.3292033689 0.5371761112 1.1390627429 1.8587814588 9.8624131547 16.0929481434
4.7979899902 0.3362068255 0.5328235262 1.1632958542 1.8437123418 10.0721887312 15.9624930520
4.8132998956 0.3431526556 0.5283794512 1.1873296407 1.8283273143 10.2802397180 15.8293031737
4.8286098009 0.3500396680 0.5238446644 1.2111599844 1.8126290122 10.4865303923 15.6934013376
