# x_path held_b1_THz held_b2_THz held_b3_THz held_b4_THz held_b5_THz held_b6_THz
4.8592296117 0.3636325252 0.5145061372 1.2581940461 1.7803033972 10.8936894589 15.4135554304
4.8745395171 0.3703360384 0.5097040223 1.2813897050 1.7636816231 11.0944879676 15.2696593274
4.8898494224 0.3769760711 0.5048144468 1.3043658044 1.7467576512 11.2933864079 15.1231471946
4.9051593278 0.3835514842 0.4998382583 1.3271184075 1.7295343814 11.4903506514 14.9740441463
4.9204692332 0.3900611495 0.4947763183 1.3496436156 1.7120147648 11.6853469049 14.8223757413
4.9357791386 0.3965039498 0.4896295021 1.3719375692 1.6942018032 11.8783417159 14.6681679790
4.9510890440 0.4028787794 0.4843986988 1.3939964484 1.6760985489 12.0693019778 14.5114472941
4.9663989493 0.4091845441 0.4790848113 1.4158164735 1.6577081037 12.2581949354 14.3522405529
4.9817088547 0.4154201614 0.4736887562 1.4373939057 1.6390336188 12.4449881903 14.1905750485
4.9970187601 0.4215845605 0.4682114634 1.4587250479 1.6200782939 12.6296497061 14.0264784959
5.0123286655 0.4276766828 0.4626538767 1.4798062451 1.6008453770 12.8121478138 13.8599790279
5.0276385708 0.4336954819 0.4570169527 1.5006338850 1.5813381634 12.9924512171 13.6911051897
5.0429484762 0.4396399237 0.4513016616 1.5212043991 1.5615599956 13.1705289974 13.5198859347
5.0582583816 0.4455089866 0.4455089866 1.5415142626 1.5415142626 13.3463506191 13.3463506191
5.0822766735 0.5165740690 0.5165740690 1.5689496968 1.5689496968 13.3469964238 13.3469964238
5.1062949654 0.6842113660 0.6842113660 1.6495198730 1.6495198730 13.3489398012 13.3489398012
5.1303132573 0.8899442760 0.8899442760 1.7784913843 1.7784913843 13.3521986513 13.3521986513
5.1543315492 1.1066671056 1.1066671056 1.9491254214 1.9491254214 13.3568028363 13.3568028363
5.1783498411 1.3242677476 1.3242677476 2.1536243358 2.1536243358 13.3627942190 13.3627942190
5.2023681330 1.5397243898 1.5397243898 2.3840338606 2.3840338606 13.3702267059 13.3702267059
5.2263864249 1.7528879782 1.7528879782 2.6331201840 2.6331201840 13.3791662833 13.3791662833
5.2504047168 1.9644922401 1.9644922401 2.8949320960 2.8949320960 13.3896910303 13.3896910303
5.2744230087 2.1752967476 2.1752967476 3.1649001628 3.1649001628 13.4018910899 13.4018910899
5.2984413006 2.3858325724 2.3858325724 3.4396314202 3.4396314202 13.4158685711 13.4158685711
5.3224595926 2.5963982429 2.5963982429 3.7166169754 3.7166169754 13.4317373522 13.4317373522
5.3464778845 2.8071228798 2.8071228798 3.9939722624 3.9939722624 13.4496227446 13.4496227446
5.3704961764 3.0180280492 3.0180280492 4.2702426788 4.2702426788 13.4696609739 13.4696609739
5.3945144683 3.2290722098 3.2290722098 4.5442687551 4.5442687551 13.4919984247 13.4919984247
5.4185327602 3.4401789527 3.4401789527 4.8150956692 4.8150956692 13.5167905887 13.5167905887
5.4425510521 3.6512537471 3.6512537471 5.0819133478 5.0819133478 13.5442006520 13.5442006520
5.4665693440 3.8621933267 3.8621933267 5.3440171171 5.3440171171 13.5743976512 13.5743976512
5.4905876359 4.0728905757 4.0728905757 5.6007821530 5.6007821530 13.6075541321 13.6075541321
5.5146059278 4.2832367124 4.2832367124 5.8516473430 5.8516473430 13.6438432459 13.6438432459
5.5386242197 4.4931218471 4.4931218471 6.0961057339 6.0961057339 13.6834352370 13.6834352370
5.5626425116 4.7024345328 4.7024345328 6.3336997377 6.3336997377 13.7264932964 13.7264932964
5.5866608035 4.9110606477 4.9110606477 6.5640198923 6.5640198923 13.7731687904 13.7731687904
5.6106790954 5.1188817696 5.1188817696 6.7867063569 6.7867063569 13.8235959204 13.8235959204
5.6346973873 5.3257730934 5.3257730934 7.0014525510 7.0014525510 13.8778859278 13.8778859278
5.6587156792 5.5316008617 5.5316008617 7.2080104811 7.2080104811 13.9361210216 13.9361210216
5.6827339711 5.7362192148 5.7362192148 7.4061973800 7.4061973800 13.9983482723 13.9983482723
5.7067522630 5.9394663117 5.9394663117 7.5959033420 7.5959033420 14.0645737756 14.0645737756
5.7307705549 6.1411595073 6.1411595073 7.7770996986 7.7770996986 14.1347574303 14.1347574303
5.7547888468 6.3410893094 6.3410893094 7.9498479624 7.9498479624 14.2088086921 14.2088086921
5.7788071387 6.5390117606 6.5390117606 8.1143092845 8.1143092845 14.2865836393 14.2865836393
5.8028254306 6.7346388257 6.7346388257 8.2707545153 8.2707545153 14.3678836308 14.3678836308
5.8268437226 6.9276263166 6.9276263166 8.4195751152 8.4195751152 14.4524557351 14.4524557351
5.8508620145 7.1175589326 7.1175589326 8.5612952491 8.5612952491 14.5399949882 14.5399949882
5.8748803064 7.3039322311 7.3039322311 8.6965853079 8.6965853079 14.6301483972 14.6301483972
5.8988985983 7.4861319931 7.4861319931 8.8262765822 8.8262765822 14.7225204815 14.7225204815
5.9229168902 7.6634128440 7.6634128440 8.9513755309 8.9513755309 14.8166800321 14.8166800321
5.9469351821 7.8348805885 7.8348805885 9.0730735586 9.0730735586 14.9121677053 14.9121677053
